symbol,size
AARTIIND,850
ABFRL,2600
ACC,500
APOLLOHOSP,250
ASIANPAINT,300
AUROPHARMA,650
AXISBANK,1200
BAJAJ-AUTO,250
BAJFINANCE,125
BALKRISIND,400
BANDHANBNK,1800
BATAINDIA,550
BERGEPAINT,1100
BIOCON,2300
BOSCHLTD,50
BRITANNIA,200
CADILAHC,2200
CHOLAFIN,1250
CIPLA,650
COLPAL,350
COROMANDEL,625
DABUR,1250
DEEPAKNTR,500
DIVISLAB,200
DLF,3300
DRREDDY,125
EICHERMOT,350
ESCORTS,550
GLENMARK,1150
GODREJCP,1000
GODREJPROP,650
GRANULES,1550
GRASIM,475
HAVELLS,500
HCLTECH,700
HDFC,300
HDFCBANK,550
HDFCLIFE,1100
HEROMOTOCO,300
HINDUNILVR,300
ICICIBANK,1375
ICICIGI,425
ICICIPRULI,1500
INDHOTEL,3900
INDIGO,500
INFY,600
IRCTC,325
JINDALSTEL,2500
JUBLFOOD,250
KOTAKBANK,400
LALPATHLAB,250
LICHSGFIN,2000
LT,575
LTI,150
LUPIN,850
MANAPPURAM,6000
MARICO,2000
MARUTI,100
MINDTREE,400
MOTHERSUMI,3500
MPHASIS,325
MUTHOOTFIN,750
NAUKRI,125
NAVINFLUOR,225
NESTLEIND,50
NTPC,5700
PAGEIND,30
PFIZER,125
PIDILITIND,500
PIIND,250
POWERGRID,4000
PVR,407
RAMCOCEM,850
RELIANCE,250
SBILIFE,750
SBIN,1500
SIEMENS,275
SRTRANSFIN,400
SUNPHARMA,1400
TATACHEM,1000
TATACONSUM,1350
TATAMOTORS,2850
TATAPOWER,6750
TATASTEEL,850
TCS,300
TITAN,375
TORNTPHARM,250
TORNTPOWER,1500
TRENT,725
UBL,700
ULTRACEMCO,100
UPL,1300
VOLTAS,500
WIPRO,1600
BANKNIFTY,25
NIFTY,50
FINNIFTY,40
